Time Setpoint Input Output
1 150.00 28.00 2000.00
2 150.00 28.00 2000.00
3 150.00 28.00 2000.00
4 150.00 28.00 2000.00
5 150.00 28.00 2000.00
6 150.00 28.00 2000.00
7 150.00 28.00 2000.00
8 150.00 28.00 2000.00
9 150.00 28.00 2000.00
10 150.00 28.00 2000.00
11 150.00 28.00 2000.00
12 150.00 28.00 2000.00
13 150.00 28.00 2000.00
14 150.00 28.00 2000.00
15 150.00 28.00 2000.00
16 150.00 28.00 2000.00
17 150.00 28.00 2000.00
18 150.00 28.00 2000.00
19 150.00 32.00 2000.00
20 150.00 32.00 2000.00
21 150.00 32.00 2000.00
22 150.00 32.00 2000.00
23 150.00 32.00 2000.00
24 150.00 32.00 2000.00
25 150.00 36.00 2000.00
26 150.00 36.00 2000.00
27 150.00 36.00 2000.00
28 150.00 36.00 2000.00
29 150.00 36.00 2000.00
30 150.00 40.00 2000.00
31 150.00 40.00 2000.00
32 150.00 40.00 2000.00
33 150.00 40.00 2000.00
34 150.00 44.00 2000.00
35 150.00 44.00 2000.00
36 150.00 48.00 2000.00
37 150.00 48.00 2000.00
38 150.00 48.00 2000.00
39 150.00 48.00 2000.00
40 150.00 52.00 2000.00
41 150.00 52.00 2000.00
42 150.00 56.00 2000.00
43 150.00 56.00 2000.00
44 150.00 56.00 2000.00
45 150.00 60.00 2000.00
46 150.00 60.00 2000.00
47 150.00 60.00 2000.00
48 150.00 64.00 2000.00
49 150.00 64.00 2000.00
50 150.00 68.00 2000.00
51 150.00 68.00 2000.00
52 150.00 68.00 2000.00
53 150.00 72.00 2000.00
54 150.00 72.00 2000.00
55 150.00 72.00 2000.00
56 150.00 76.00 2000.00
57 150.00 76.00 2000.00
58 150.00 80.00 2000.00
59 150.00 80.00 2000.00
60 150.00 80.00 2000.00
61 150.00 84.00 2000.00
62 150.00 84.00 2000.00
63 150.00 84.00 2000.00
64 150.00 88.00 2000.00
65 150.00 88.00 2000.00
66 150.00 92.00 2000.00
67 150.00 92.00 2000.00
68 150.00 92.00 2000.00
69 150.00 96.00 2000.00
70 150.00 96.00 2000.00
71 150.00 96.00 2000.00
72 150.00 100.00 2000.00
73 150.00 100.00 2000.00
74 150.00 104.00 2000.00
75 150.00 104.00 2000.00
76 150.00 104.00 2000.00
77 150.00 108.00 2000.00
78 150.00 108.00 2000.00
79 150.00 112.00 2000.00
80 150.00 112.00 2000.00
81 150.00 112.00 2000.00
82 150.00 116.00 2000.00
83 150.00 116.00 2000.00
84 150.00 120.00 2000.00
85 150.00 120.00 2000.00
86 150.00 120.00 2000.00
87 150.00 120.00 2000.00
88 150.00 120.00 2000.00
89 150.00 120.00 2000.00
90 150.00 120.00 2000.00
91 150.00 124.00 2000.00
92 150.00 124.00 2000.00
93 150.00 124.00 2000.00
94 150.00 128.00 2000.00
95 150.00 128.00 2000.00
96 150.00 128.00 2000.00
97 150.00 132.00 2000.00
98 150.00 132.00 1918.70
99 150.00 132.00 1999.15
100 150.00 136.00 1999.60
101 150.00 136.00 1519.95
102 150.00 140.00 1600.30
103 150.00 140.00 1120.55
104 150.00 144.00 1200.80
105 150.00 144.00 720.95
106 150.00 146.00 801.10
107 150.00 148.00 561.20
