Serial Output Enabled
MAX6675
Time Setpoint Input Output
1 150.00 25.50 2000.00
2 150.00 25.75 2000.00
3 150.00 25.75 2000.00
4 150.00 25.50 2000.00
5 150.00 25.75 2000.00
6 150.00 25.25 2000.00
7 150.00 25.25 2000.00
8 150.00 25.75 2000.00
9 150.00 25.75 2000.00
10 150.00 25.50 2000.00
11 150.00 26.00 2000.00
12 150.00 26.25 2000.00
13 150.00 25.75 2000.00
14 150.00 26.00 2000.00
15 150.00 26.50 2000.00
16 150.00 27.25 2000.00
17 150.00 26.50 2000.00
18 150.00 27.75 2000.00
19 150.00 27.75 2000.00
20 150.00 28.50 2000.00
21 150.00 28.75 2000.00
22 150.00 28.75 2000.00
23 150.00 29.75 2000.00

24 150.00 30.00 2000.00
25 150.00 30.75 2000.00
26 150.00 30.75 2000.00
27 150.00 32.00 2000.00
28 150.00 32.50 2000.00
29 150.00 32.50 2000.00
30 150.00 33.25 2000.00
31 150.00 33.25 2000.00
32 150.00 35.00 2000.00
33 150.00 36.00 2000.00
34 150.00 36.75 2000.00
35 150.00 37.50 2000.00
36 150.00 38.00 2000.00
37 150.00 39.00 2000.00
38 150.00 40.00 2000.00
39 150.00 41.00 2000.00
40 150.00 41.75 2000.00
41 150.00 42.50 2000.00
42 150.00 43.25 2000.00
43 150.00 44.25 2000.00
44 150.00 45.50 2000.00
45 150.00 46.25 2000.00
46 150.00 47.25 2000.00
47 150.00 48.50 2000.00
48 150.00 49.50 2000.00
49 150.00 50.50 2000.00
50 150.00 51.75 2000.00
51 150.00 53.00 2000.00
52 150.00 54.00 2000.00
53 150.00 54.25 2000.00

54 150.00 56.75 2000.00
55 150.00 58.25 2000.00
56 150.00 59.00 2000.00
57 150.00 60.00 2000.00
58 150.00 60.75 2000.00
59 150.00 62.25 2000.00
60 150.00 63.25 2000.00
61 150.00 64.75 2000.00
62 150.00 65.50 2000.00
63 150.00 66.75 2000.00
64 150.00 68.50 2000.00
65 150.00 69.50 2000.00
66 150.00 71.75 2000.00
67 150.00 72.75 2000.00
68 150.00 73.50 2000.00
69 150.00 73.50 2000.00
70 150.00 74.75 2000.00
71 150.00 77.25 2000.00
72 150.00 78.00 2000.00
73 150.00 79.00 2000.00
74 150.00 80.50 2000.00
75 150.00 82.00 2000.00
76 150.00 83.00 2000.00
77 150.00 84.75 2000.00
78 150.00 86.00 2000.00
79 150.00 87.25 2000.00
80 150.00 88.50 2000.00
81 150.00 89.75 2000.00
82 150.00 91.00 2000.00
83 150.00 92.00 2000.00
84 150.00 93.50 2000.00
85 150.00 94.50 2000.00
86 150.00 96.25 2000.00
87 150.00 97.25 2000.00
88 150.00 98.50 2000.00
89 150.00 99.75 2000.00
90 150.00 101.00 2000.00
91 150.00 102.50 2000.00
92 150.00 102.50 2000.00
93 150.00 105.50 2000.00
94 150.00 106.75 2000.00
95 150.00 107.50 2000.00
96 150.00 109.25 2000.00
97 150.00 111.25 2000.00
98 150.00 112.25 2000.00
99 150.00 113.25 2000.00
100 150.00 113.25 2000.00
101 150.00 116.25 2000.00
102 150.00 117.00 2000.00
103 150.00 118.25 2000.00
104 150.00 119.25 2000.00
105 150.00 120.50 2000.00
106 150.00 122.00 2000.00
107 150.00 123.00 2000.00
108 150.00 123.75 2000.00
109 150.00 125.50 2000.00
110 150.00 126.50 2000.00
111 150.00 128.00 2000.00
112 150.00 129.25 2000.00
113 150.00 130.50 2000.00
114 150.00 131.00 2000.00
115 150.00 132.75 2000.00
116 150.00 134.00 1966.97
117 150.00 135.00 1842.38
118 150.00 136.00 1742.75
119 150.00 137.75 1643.10
120 150.00 137.75 1468.41
121 150.00 139.75 1393.69

122 150.00 140.75 1268.95
123 150.00 141.50 1169.18
124 150.00 142.00 1094.39
125 150.00 142.75 1044.59
126 150.00 144.00 969.78
127 150.00 144.50 844.92
128 150.00 145.50 795.06
129 150.00 145.75 695.17
130 150.00 146.75 670.28
131 150.00 147.25 570.36
132 150.00 148.00 520.43
133 150.00 148.00 445.48
134 150.00 148.75 495.54
135 150.00 149.00 370.57
136 150.00 149.25 345.60
137 150.00 149.75 320.62
138 150.00 150.50 270.62
139 155.00 150.75 1595.85
140 155.00 151.25 1521.06
141 155.00 151.25 1371.25
142 155.00 151.50 1221.41
143 155.00 152.00 1296.59

144 155.00 153.00 1146.74
145 155.00 153.75 846.84
146 155.00 154.75 621.90
147 155.00 154.75 321.91
148 160.00 155.75 1747.16
149 160.00 156.00 1522.38
150 160.00 156.00 1447.57
151 160.00 156.25 1447.78
152 160.00 156.75 1372.96
153 160.00 157.75 1223.13
154 160.00 158.75 923.24
155 160.00 158.75 623.30
156 160.00 158.75 623.36
157 165.00 159.00 2000.00
158 165.00 160.00 2000.00
159 165.00 160.50 1749.22
160 165.00 161.50 1599.45
161 165.00 161.25 1299.63
162 165.00 161.25 1374.81
163 165.00 162.50 1375.00
164 165.00 162.75 1000.13
165 165.00 163.25 925.24
166 170.00 164.00 2000.00
167 170.00 164.00 2000.00
168 170.00 165.25 1751.13
169 170.00 165.50 1676.36
170 170.00 166.50 1601.59
171 170.00 166.50 1301.76
172 170.00 167.75 1301.94
173 170.00 167.75 927.05
174 170.00 167.75 927.16
175 175.00 169.50 2000.00
176 175.00 169.50 1902.75
177 175.00 170.75 1903.02
178 175.00 170.75 1528.24
179 175.00 170.75 1528.45
180 175.00 172.50 1228.61
181 175.00 173.00 1003.74
182 175.00 173.00 853.84
183 175.00 173.50 853.94
184 180.00 174.00 2000.00
185 180.00 175.00 2000.00
186 180.00 175.75 1754.81
187 180.00 176.50 1530.02
188 180.00 177.25 1305.20
189 180.00 177.00 1080.34
190 180.00 178.25 1155.49
191 180.00 178.50 780.57
192 180.00 179.00 705.65
193 185.00 179.50 2000.00
194 185.00 179.50 1906.22
195 185.00 180.25 1906.50
196 185.00 180.50 1681.74
197 185.00 181.25 1606.96
198 185.00 181.50 1382.15
199 185.00 181.50 1307.32
200 185.00 181.50 1307.50
201 185.00 181.75 1307.67
202 190.00 182.75 2000.00
203 190.00 183.50 2000.00
204 190.00 184.25 2000.00
205 190.00 185.25 1984.06
206 190.00 185.75 1684.30
207 190.00 185.75 1534.51
208 190.00 187.00 1534.72
209 190.00 187.50 1159.87
210 190.00 187.75 1010.00
211 240.00 188.50 2000.00
212 240.00 188.75 2000.00
213 240.00 189.00 2000.00
214 240.00 189.50 2000.00
215 240.00 189.50 2000.00
216 240.00 190.75 2000.00
217 240.00 191.25 2000.00
218 240.00 192.00 2000.00
219 240.00 193.00 2000.00
220 240.00 193.50 2000.00
221 240.00 194.75 2000.00
222 240.00 194.75 2000.00
223 240.00 195.50 2000.00
224 240.00 196.50 2000.00
225 240.00 197.50 2000.00
226 240.00 198.50 2000.00
227 240.00 199.25 2000.00
228 240.00 199.75 2000.00
229 240.00 200.75 2000.00
230 240.00 201.75 2000.00
231 240.00 202.25 2000.00
232 240.00 202.75 2000.00
233 240.00 204.00 2000.00
234 240.00 204.25 2000.00
235 240.00 205.00 2000.00
236 240.00 205.00 2000.00
237 240.00 205.25 2000.00
238 240.00 206.50 2000.00
239 240.00 207.50 2000.00
240 240.00 208.50 2000.00
241 240.00 209.25 2000.00
242 240.00 209.75 2000.00
243 240.00 210.75 2000.00
244 240.00 210.50 2000.00
245 240.00 211.75 2000.00
246 240.00 212.00 2000.00

247 240.00 213.50 2000.00
248 240.00 214.25 2000.00
249 240.00 214.75 2000.00
250 240.00 215.25 2000.00
251 240.00 216.50 2000.00
252 240.00 217.25 2000.00
253 240.00 218.00 2000.00
254 240.00 219.25 2000.00
255 240.00 219.50 2000.00
256 240.00 220.25 2000.00
257 240.00 220.75 2000.00

258 240.00 222.00 2000.00
259 240.00 222.00 2000.00
260 240.00 222.50 2000.00
261 240.00 223.75 2000.00
262 240.00 223.50 2000.00
263 240.00 223.50 2000.00
264 240.00 224.50 2000.00
265 240.00 225.75 2000.00
266 240.00 226.25 2000.00
267 240.00 227.50 2000.00
268 240.00 227.50 2000.00
269 240.00 228.75 2000.00
270 240.00 229.50 2000.00

271 240.00 230.75 2000.00
272 240.00 231.50 2000.00
273 240.00 231.75 2000.00
274 240.00 233.00 2000.00
275 240.00 233.50 2000.00
276 240.00 234.50 2000.00
277 240.00 235.00 2000.00
278 100.00 234.75 0.00
279 100.00 235.25 0.00
280 100.00 235.75 0.00
281 100.00 236.00 0.00
282 100.00 236.00 0.00
283 100.00 236.75 0.00
284 100.00 236.75 0.00
285 100.00 237.00 0.00
286 100.00 236.50 0.00
287 100.00 237.00 0.00
288 100.00 237.25 0.00
289 100.00 237.25 0.00
290 100.00 237.00 0.00
291 100.00 237.50 0.00
292 100.00 236.50 0.00
293 100.00 237.00 0.00
294 100.00 236.50 0.00
295 100.00 237.50 0.00
296 100.00 237.00 0.00
297 100.00 237.00 0.00
298 100.00 236.25 0.00

299 100.00 235.75 0.00
300 100.00 235.25 0.00
301 100.00 235.00 0.00
302 100.00 235.00 0.00
303 100.00 233.00 0.00
304 100.00 228.00 0.00
305 100.00 226.50 0.00
306 100.00 225.50 0.00
307 100.00 223.75 0.00
308 100.00 223.25 0.00
309 100.00 221.75 0.00
310 100.00 218.75 0.00
311 100.00 216.75 0.00
312 100.00 215.25 0.00
313 100.00 214.50 0.00
314 100.00 211.25 0.00
315 100.00 209.75 0.00
316 100.00 208.00 0.00
317 100.00 207.00 0.00
318 100.00 205.00 0.00
319 100.00 203.25 0.00
320 100.00 203.25 0.00
321 100.00 200.50 0.00
322 100.00 201.50 0.00
323 100.00 198.75 0.00
324 100.00 198.25 0.00
325 100.00 196.50 0.00
326 100.00 194.00 0.00
327 100.00 191.75 0.00
328 100.00 193.50 0.00
329 100.00 193.75 0.00
330 100.00 194.50 0.00
331 100.00 194.75 0.00
332 100.00 192.25 0.00
333 100.00 192.25 0.00

334 100.00 191.75 0.00
335 100.00 191.00 0.00
336 100.00 191.25 0.00
337 100.00 191.50 0.00
338 100.00 187.75 0.00
339 100.00 187.25 0.00
340 100.00 186.50 0.00
341 100.00 187.00 0.00
342 100.00 187.25 0.00
343 100.00 186.50 0.00
344 100.00 187.50 0.00
345 100.00 186.75 0.00
346 100.00 186.25 0.00
347 100.00 185.00 0.00
348 100.00 183.75 0.00
349 100.00 183.25 0.00
350 100.00 182.50 0.00
351 100.00 182.50 0.00
352 100.00 182.75 0.00
353 100.00 182.25 0.00
354 100.00 181.25 0.00
355 100.00 180.75 0.00
356 100.00 178.75 0.00
357 100.00 177.50 0.00
358 100.00 177.50 0.00
359 100.00 175.25 0.00
360 100.00 172.00 0.00
361 100.00 170.50 0.00
362 100.00 170.50 0.00
363 100.00 169.00 0.00
364 100.00 170.25 0.00
365 100.00 170.25 0.00
366 100.00 169.25 0.00
367 100.00 169.50 0.00
368 100.00 169.00 0.00
369 100.00 168.25 0.00
370 100.00 168.75 0.00
371 100.00 168.75 0.00
372 100.00 168.25 0.00
373 100.00 166.50 0.00
374 100.00 165.75 0.00
